,firstName,surname,teamId,round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,total_votes
0,Jordan,Dawson,1,0.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,32.0
1,Nick,Daicos,3,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0
2,Bailey,Smith,10,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,31.0
3,Noah,Anderson,4,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,30.0
4,Hugh,McCluggage,2,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,28.0
5,Matt,Rowell,4,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,27.0
6,Max,Gawn,17,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,27.0
7,Zak,Butters,7,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,26.0
8,Tom,Green,15,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,26.0
9,Nasiah,Wanganeen-Milera,11,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,25.0
10,Finn,Callaghan,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,21.0
