,player_name,team,round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,total_votes
0,Nick Daicos,Collingwood,0.0,1.5,3.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,2.5,0.0,0.0,2.5,1.5,3.0,0.0,1.5,3.0,0.0,0.0,0.5,2.0,31.0
1,Noah Anderson,Gold Coast,0.0,2.0,0.0,1.5,0.0,2.0,0.0,0.0,0.0,2.5,3.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,1.5,0.0,2.0,3.0,0.0,0.0,2.5,29.0
2,Bailey Smith,Geelong,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.5,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,3.0,2.0,3.0,28.0
3,Caleb Serong,Fremantle,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,2.5,0.0,0.0,2.5,3.0,0.0,0.0,2.0,1.5,0.0,0.0,2.5,0.0,1.0,26.0
4,Jordan Dawson,Adelaide,0.0,2.5,3.0,0.0,0.0,0.0,3.0,0.0,2.5,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,25.0
5,Tom Green,Greater Western Sydney,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.5,0.0,3.0,0.0,0.0,1.0,2.5,3.0,24.0
6,Marcus Bontempelli,Western Bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,1.5,3.0,3.0,22.5
7,Zak Butters,Port Adelaide,0.0,0.0,0.0,0.0,0.0,2.5,2.5,3.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,2.0,0.0,2.5,0.0,0.0,0.0,2.5,0.5,3.0,22.0
8,Matt Rowell,Gold Coast,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,1.0,22.0
9,Max Holmes,Geelong,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.5,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,22.0
10,Hugh McCluggage,Brisbane,0.0,0.0,0.0,2.0,2.0,2.5,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,2.0,0.0,1.0,3.0,21.5
11,Finn Callaghan,Greater Western Sydney,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,2.5,0.0,19.5
12,Jeremy Cameron,Geelong,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.5,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,1.5,0.0,0.0,1.0,19.5
13,Isaac Heeney,Sydney,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,2.5,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,19.5
14,Nasiah Wanganeen-Milera,St. Kilda,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,2.5,1.0,0.0,19.0
15,Max Gawn,Melbourne,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,0.0,0.0,2.0,18.5
16,Brodie Grundy,Sydney,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,18.0
17,Connor Rozee,Port Adelaide,0.0,0.0,3.0,0.0,0.0,2.5,2.5,1.0,0.0,3.0,0.0,0.0,0.0,2.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0
18,Andrew Brayshaw,Fremantle,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,17.5
19,Lachie Neale,Brisbane,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,17.5
20,Ed Richards,Western Bulldogs,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,16.5
21,Riley Thilthorpe,Adelaide,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.5,0.0,0.0,2.0,15.5
22,Josh Dunkley,Brisbane,0.0,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.5,0.0,0.0,2.0,0.0,2.0,15.0
23,George Hewett,Carlton,0.0,0.0,0.0,0.0,1.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,14.5
24,Zach Merrett,Essendon,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
25,Will Ashcroft,Brisbane,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,14.0
26,Tom Liberatore,Western Bulldogs,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5
27,Tim Taranto,Richmond,0.0,2.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,13.5
