season,player_id,player_name,wiki_name,club,votes,reason,source_url
2012,CD_I230231,JOBE WATSON,Jobe Watson,Essendon,30,Retroactively deemed ineligible (Essendon supplements saga); medal later stripped,https://en.wikipedia.org/wiki/2012_Brownlow_Medal
2012,CD_I200032,MATTHEW PAVLICH,Matthew Pavlich,Fremantle,15,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2012_Brownlow_Medal
2013,CD_I220054,STEVE JOHNSON,Steve Johnson,Geelong Cats,25,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2013_Brownlow_Medal
2014,CD_I291570,NAT FYFE,Nat Fyfe,Fremantle,25,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2014_Brownlow_Medal
2014,CD_I220054,STEVE JOHNSON,Steve Johnson,Geelong Cats,19,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2014_Brownlow_Medal
2016,CD_I270963,RORY SLOANE,Rory Sloane,Adelaide Crows,24,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2016_Brownlow_Medal
2017,CD_I270917,PATRICK DANGERFIELD,Patrick Dangerfield,Geelong Cats,33,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2017_Brownlow_Medal
2019,CD_I290847,DUSTIN MARTIN,Dustin Martin,Richmond,23,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2019_Brownlow_Medal
2023,CD_I1009420,CALEB SERONG,Caleb Serong,Fremantle,24,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2023_Brownlow_Medal
2024,CD_I298539,ISAAC HEENEY,Isaac Heeney,Sydney Swans,28,Ineligible after in-season suspension,https://en.wikipedia.org/wiki/2024_Brownlow_Medal
