season,player_id,player_name,tracker_name,club,outcome,source_url
2026,CD_I992374,DAN BUTLER,Dan Butler,St Kilda,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1023492,HARLEY REID,Harley Reid,West Coast,2-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1017720,JACOB VAN ROOYEN,Jacob van Rooyen,Melbourne,3-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I991930,DARCY BYRNE-JONES,Darcy Byrne-Jones,Port Adelaide,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1028521,LUKE TRAINOR,Luke Trainor,Richmond,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1034411,TY GALLOP,Ty Gallop,Brisbane,3-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I999331,DARCY FOGARTY,Darcy Fogarty,Adelaide,3-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1000223,LIAM BAKER,Liam Baker,West Coast,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I298630,KYLE LANGFORD,Kyle Langford,Essendon,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1011640,JASON HORNE-FRANCIS,Jason Horne-Francis,Port Adelaide,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I993917,BEN LONG,Ben Long,Gold Coast,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1027935,JOSH WEDDLE,Josh Weddle,Hawthorn,3-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1013257,SAM CLOHESY,Sam Clohesy,Gold Coast,2-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1002947,PAUL CURTIS,Paul Curtis,North Melbourne,3-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I280506,TAYLOR WALKER,Taylor Walker,Adelaide,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1008384,RILEY THILTHORPE,Riley Thilthorpe,Adelaide,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1006314,DYLAN MOORE,Dylan Moore,Hawthorn,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I297566,JAMES SICILY,James Sicily,Hawthorn,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1032629,JOE FONTI,Joe Fonti,GWS,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1007102,MARK O'CONNOR,Mark O'Connor,Geelong,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I997100,WILL HAYWARD,Will Hayward,Carlton,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1012386,SAMSON RYAN,Samson Ryan,Richmond,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1020339,ANGUS SHELDRICK,Angus Sheldrick,Sydney,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1009385,DEVEN ROBERTSON,Deven Robertson,West Coast,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1004965,TRISTAN XERRI,Tristan Xerri,North Melbourne,3-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1023500,BAILEY HUMPHREY,Bailey Humphrey,Gold Coast,2-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1028498,JONTY FAULL,Jonty Faull,Richmond,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I996059,HARRIS ANDREWS,Harris Andrews,Brisbane,3-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1002312,ZAC BAILEY,Zac Bailey,Brisbane,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I296269,DARCY GARDINER,Darcy Gardiner,Brisbane,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1023736,JED WALTER,Jed Walter,Gold Coast,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
2026,CD_I1008543,HARRY SCHOENBERG,Harry Schoenberg,West Coast,1-Game Suspension,https://www.zerohanger.com/2026-afl-suspensions-mro-and-tribunal-tracker/
